date,visitors_pool_total,sportbad_closed,freizeitbad_closed,sauna_closed,kursbecken_closed,event,price_adult_90min,price_adult_max,price_reduced_90min,price_reduced_max,sloop_dummy,sloop_days_since_opening,school_holiday,bank_holiday
3/20/2005,915,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
3/21/2005,1057,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0
3/22/2005,1482,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0
3/23/2005,1883,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0
3/24/2005,1790,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0
3/25/2005,2193,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,3
3/26/2005,1481,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0
3/27/2005,865,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0
3/28/2005,1942,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,3
3/29/2005,2753,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0
3/30/2005,3160,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0
3/31/2005,3135,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0
4/1/2005,2054,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0
4/2/2005,1529,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0
4/3/2005,1699,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/4/2005,817,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/5/2005,718,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/6/2005,726,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/7/2005,638,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/8/2005,1089,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/9/2005,1941,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/10/2005,2590,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/11/2005,912,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/12/2005,589,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/13/2005,793,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/14/2005,585,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/15/2005,1015,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/16/2005,1658,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/17/2005,2033,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/18/2005,847,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/19/2005,692,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/20/2005,736,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/21/2005,657,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/22/2005,888,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/23/2005,1216,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/24/2005,1230,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/25/2005,763,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/26/2005,612,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/27/2005,771,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/28/2005,681,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/29/2005,903,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
4/30/2005,937,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/1/2005,1085,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,3
5/2/2005,759,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/3/2005,616,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/4/2005,855,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/5/2005,1291,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,3
5/6/2005,1695,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,1,0
5/7/2005,1594,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/8/2005,1249,0,1,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/9/2005,771,0,1,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/10/2005,549,0,1,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/11/2005,638,0,1,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/12/2005,526,0,1,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/13/2005,656,0,1,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/14/2005,913,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/15/2005,1472,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/16/2005,1702,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,3
5/17/2005,600,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/18/2005,714,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/19/2005,600,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/20/2005,685,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/21/2005,1009,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/22/2005,1456,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/23/2005,693,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
5/24/2005,582,1,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0
