date,air_humidity_DWD,air_temperature_daily_max_DWD,air_temperature_daily_mean_DWD,air_temperature_daily_min_DWD,precipitation_DWD,snow_height_DWD,sunshine_hours_DWD,wind_speed_max_DWD
1/1/2005,89,9.1,6.2,5,3.4,0,0.4,18.4
1/2/2005,72,9.2,5.4,3.9,0.2,0,1.1,20.9
1/3/2005,83,7.4,5.8,4.6,0.3,0,0,16.8
1/4/2005,80,8.2,7,5.3,1.9,0,0,16
1/5/2005,88,6.8,5.6,4.2,3.5,0,0,14
1/6/2005,84,8.2,6.6,5.8,0,0,3,15.5
1/7/2005,78,11.6,10.1,8.1,0,0,0,19.6
1/8/2005,68,11.5,8.8,4.8,3.8,0,0.3,27.5
1/9/2005,75,8.4,6.4,4.1,0,0,2,16.3
1/10/2005,73,14.6,11.3,7.7,1.9,0,1.6,16
1/11/2005,86,10.5,9,7.7,1.8,0,0.7,13
1/12/2005,78,NA,8,NA,0,0,NA,NA
1/13/2005,84,6.2,4.1,2.4,3.4,0,0.9,13
1/14/2005,91,6.5,2.4,-0.9,0.1,0,3.7,7.6
1/15/2005,96,2.4,0.3,-3.5,0,0,4.4,4.4
1/16/2005,75,5.2,0.7,-4.8,0,0,6.8,12.4
1/17/2005,82,7.4,5.2,2.9,5.5,0,0,13.5
1/18/2005,92,6.2,3.7,0.4,8.7,0,0.3,14.6
1/19/2005,89,5.1,2.8,0.5,2.3,0,1.5,13.7
1/20/2005,86,9.2,7.4,3.6,20.8,0,0.1,23
1/21/2005,86,6.3,3.6,2.4,3.8,0,1.3,23
1/22/2005,85,6.5,3.3,-0.1,0.4,0,2.9,14
1/23/2005,89,4.4,0.8,-1.2,2.9,0,2.9,13.1
1/24/2005,84,0.2,-1.4,-3.2,0,2,2.9,9.4
1/25/2005,80,0.1,-1.9,-3.8,0,1,1.8,10.3
1/26/2005,83,-0.9,-2.1,-3.6,1.2,0,0,9.9
1/27/2005,90,-0.2,-1.9,-3.2,0.2,2,0,5.2
1/28/2005,91,0.5,-1.7,-4.5,0.1,2,0.1,3.3
1/29/2005,87,0.9,-3.1,-8.3,1.9,2,3.8,8.6
1/30/2005,97,4.8,2.1,-1,3.3,2,0,8.4
1/31/2005,95,6.6,4.9,3.1,8.8,0,0,12.9
2/1/2005,86,5.4,3,1,1.5,0,0.8,13.2
2/2/2005,94,6,4.6,2.9,2.8,0,0.2,12.3
2/3/2005,89,5.7,4.7,3.7,0.5,0,0,9
2/4/2005,92,6.7,4.8,2.5,0,0,0,5
2/5/2005,64,4.5,1.6,-2,0,0,7.4,9.4
2/6/2005,64,2.7,-0.3,-3.2,0,0,7.9,6.6
2/7/2005,77,4.3,-1.3,-5.3,0,0,7.7,6
2/8/2005,82,NA,-1.2,NA,0,0,NA,NA
2/9/2005,85,8.1,2.5,-4.1,2.9,0,3.4,9.6
2/10/2005,91,7.7,6.4,3.8,9.3,0,0,14.5
2/11/2005,87,8.8,5.3,3.4,6.4,0,4.2,6.7
2/12/2005,91,10.4,6.5,3.5,12.3,0,0,25.6
2/13/2005,87,5.6,2.4,0.4,3.2,0,1.6,18.4
2/14/2005,84,4.9,1.5,-0.5,1.5,0,1.7,11
2/15/2005,83,1.3,-0.3,-2.1,0.1,2,0,12.9
2/16/2005,78,0.6,-1.2,-2.2,0,0,1.5,9.6
2/17/2005,74,-0.6,-1.5,-2.2,0,0,0.2,5.4
2/18/2005,80,1.7,-0.9,-2.9,2.9,0,0.7,12.7
2/19/2005,95,4.6,1.3,-0.4,5.6,3,1,9.6
2/20/2005,96,2.7,0.8,0,5.1,0,0.1,7.3
2/21/2005,86,2.7,0.2,-2.3,0.8,2,2.2,12.2
